"","source","type","score","phase","gene_id","gene_type","gene_name","level","havana_gene","tag","gene_id_no_ver","length"
"SPTBN5","HAVANA","gene",NA,NA,"ENSG00000137877.8","protein_coding","SPTBN5","2","OTTHUMG00000172720.1","ncRNA_host","ENSG00000137877",NA
"GCHFR","HAVANA","gene",NA,NA,"ENSG00000137880.4","protein_coding","GCHFR","1","OTTHUMG00000130069.2",NA,"ENSG00000137880",NA
"BCAR3","HAVANA","gene",NA,NA,"ENSG00000137936.12","protein_coding","BCAR3","2","OTTHUMG00000010301.2",NA,"ENSG00000137936",NA
"TTLL7","HAVANA","gene",NA,NA,"ENSG00000137941.12","protein_coding","TTLL7","2","OTTHUMG00000009932.6",NA,"ENSG00000137941",NA
"FNBP1L","HAVANA","gene",NA,NA,"ENSG00000137942.12","protein_coding","FNBP1L","2","OTTHUMG00000010863.3",NA,"ENSG00000137942",NA
"CCBL2","HAVANA","gene",NA,NA,"ENSG00000137944.12","protein_coding","CCBL2","2","OTTHUMG00000010617.8",NA,"ENSG00000137944",NA
"GTF2B","HAVANA","gene",NA,NA,"ENSG00000137947.7","protein_coding","GTF2B","2","OTTHUMG00000010611.2",NA,"ENSG00000137947",NA
"BRDT","HAVANA","gene",NA,NA,"ENSG00000137948.14","protein_coding","BRDT","2","OTTHUMG00000010113.4",NA,"ENSG00000137948",NA
"RABGGTB","HAVANA","gene",NA,NA,"ENSG00000137955.11","protein_coding","RABGGTB","2","OTTHUMG00000009786.2","ncRNA_host","ENSG00000137955",NA
"IFI44L","HAVANA","gene",NA,NA,"ENSG00000137959.11","protein_coding","IFI44L","2","OTTHUMG00000009724.4",NA,"ENSG00000137959",NA
"GIPC2","HAVANA","gene",NA,NA,"ENSG00000137960.5","protein_coding","GIPC2","2","OTTHUMG00000041145.1",NA,"ENSG00000137960",NA
"ARHGAP29","HAVANA","gene",NA,NA,"ENSG00000137962.8","protein_coding","ARHGAP29","2","OTTHUMG00000010643.3",NA,"ENSG00000137962",NA
"IFI44","HAVANA","gene",NA,NA,"ENSG00000137965.6","protein_coding","IFI44","2","OTTHUMG00000009723.1",NA,"ENSG00000137965",NA
"SLC44A5","HAVANA","gene",NA,NA,"ENSG00000137968.12","protein_coding","SLC44A5","2","OTTHUMG00000009721.3","ncRNA_host","ENSG00000137968",NA
"CLCA2","HAVANA","gene",NA,NA,"ENSG00000137975.7","protein_coding","CLCA2","2","OTTHUMG00000010256.1",NA,"ENSG00000137975",NA
"DNASE2B","HAVANA","gene",NA,NA,"ENSG00000137976.7","protein_coding","DNASE2B","2","OTTHUMG00000009860.1",NA,"ENSG00000137976",NA
"DBT","HAVANA","gene",NA,NA,"ENSG00000137992.10","protein_coding","DBT","2","OTTHUMG00000010921.2",NA,"ENSG00000137992",NA
"RTCA","HAVANA","gene",NA,NA,"ENSG00000137996.8","protein_coding","RTCA","2","OTTHUMG00000010920.2","ncRNA_host","ENSG00000137996",NA
"IFT172","HAVANA","gene",NA,NA,"ENSG00000138002.10","protein_coding","IFT172","2","OTTHUMG00000128425.4","ncRNA_host","ENSG00000138002",NA
"EPT1","HAVANA","gene",NA,NA,"ENSG00000138018.13","protein_coding","EPT1","2","OTTHUMG00000151931.3",NA,"ENSG00000138018",NA
"CGREF1","HAVANA","gene",NA,NA,"ENSG00000138028.10","protein_coding","CGREF1","2","OTTHUMG00000152009.2",NA,"ENSG00000138028",NA
"HADHB","HAVANA","gene",NA,NA,"ENSG00000138029.9","protein_coding","HADHB","2","OTTHUMG00000096978.3",NA,"ENSG00000138029",NA
"KHK","HAVANA","gene",NA,NA,"ENSG00000138030.8","protein_coding","KHK","2","OTTHUMG00000097077.2",NA,"ENSG00000138030",NA
"ADCY3","HAVANA","gene",NA,NA,"ENSG00000138031.10","protein_coding","ADCY3","1","OTTHUMG00000094765.5",NA,"ENSG00000138031",NA
"PPM1B","HAVANA","gene",NA,NA,"ENSG00000138032.16","protein_coding","PPM1B","2","OTTHUMG00000128757.17",NA,"ENSG00000138032",NA
"PNPT1","HAVANA","gene",NA,NA,"ENSG00000138035.10","protein_coding","PNPT1","2","OTTHUMG00000129335.7",NA,"ENSG00000138035",NA
"DYNC2LI1","HAVANA","gene",NA,NA,"ENSG00000138036.14","protein_coding","DYNC2LI1","1","OTTHUMG00000128656.9",NA,"ENSG00000138036",NA
"LHCGR","HAVANA","gene",NA,NA,"ENSG00000138039.10","protein_coding","LHCGR","1","OTTHUMG00000129257.9",NA,"ENSG00000138039",NA
"THUMPD2","HAVANA","gene",NA,NA,"ENSG00000138050.10","protein_coding","THUMPD2","2","OTTHUMG00000102149.4",NA,"ENSG00000138050",NA
"CYP1B1","HAVANA","gene",NA,NA,"ENSG00000138061.7","protein_coding","CYP1B1","1","OTTHUMG00000100970.4",NA,"ENSG00000138061",NA
"SULT6B1","HAVANA","gene",NA,NA,"ENSG00000138068.6","protein_coding","SULT6B1","2","OTTHUMG00000152160.1",NA,"ENSG00000138068",NA
"RAB1A","HAVANA","gene",NA,NA,"ENSG00000138069.12","protein_coding","RAB1A","2","OTTHUMG00000152725.1",NA,"ENSG00000138069",NA
"ACTR2","HAVANA","gene",NA,NA,"ENSG00000138071.9","protein_coding","ACTR2","2","OTTHUMG00000129540.2",NA,"ENSG00000138071",NA
"PREB","HAVANA","gene",NA,NA,"ENSG00000138073.9","protein_coding","PREB","1","OTTHUMG00000097076.3",NA,"ENSG00000138073",NA
"SLC5A6","HAVANA","gene",NA,NA,"ENSG00000138074.10","protein_coding","SLC5A6","2","OTTHUMG00000097075.7",NA,"ENSG00000138074",NA
"ABCG5","HAVANA","gene",NA,NA,"ENSG00000138075.7","protein_coding","ABCG5","1","OTTHUMG00000128758.5",NA,"ENSG00000138075",NA
"PREPL","HAVANA","gene",NA,NA,"ENSG00000138078.11","protein_coding","PREPL","1","OTTHUMG00000152791.6",NA,"ENSG00000138078",NA
"SLC3A1","HAVANA","gene",NA,NA,"ENSG00000138079.9","protein_coding","SLC3A1","1","OTTHUMG00000128759.3",NA,"ENSG00000138079",NA
"EMILIN1","HAVANA","gene",NA,NA,"ENSG00000138080.9","protein_coding","EMILIN1","1","OTTHUMG00000097069.2",NA,"ENSG00000138080",NA
"FBXO11","HAVANA","gene",NA,NA,"ENSG00000138081.15","protein_coding","FBXO11","2","OTTHUMG00000129130.5",NA,"ENSG00000138081",NA
"SIX3","HAVANA","gene",NA,NA,"ENSG00000138083.3","protein_coding","SIX3","2","OTTHUMG00000152424.1",NA,"ENSG00000138083",NA
"ATRAID","HAVANA","gene",NA,NA,"ENSG00000138085.12","protein_coding","ATRAID","2","OTTHUMG00000128405.5",NA,"ENSG00000138085",NA
"CENPO","HAVANA","gene",NA,NA,"ENSG00000138092.6","protein_coding","CENPO","1","OTTHUMG00000125525.3",NA,"ENSG00000138092",NA
"LRPPRC","HAVANA","gene",NA,NA,"ENSG00000138095.14","protein_coding","LRPPRC","1","OTTHUMG00000152782.11",NA,"ENSG00000138095",NA
"TRIM54","HAVANA","gene",NA,NA,"ENSG00000138100.9","protein_coding","TRIM54","2","OTTHUMG00000097078.3",NA,"ENSG00000138100",NA
"DTNB","HAVANA","gene",NA,NA,"ENSG00000138101.14","protein_coding","DTNB","1","OTTHUMG00000152129.6",NA,"ENSG00000138101",NA
"ACTR1A","HAVANA","gene",NA,NA,"ENSG00000138107.7","protein_coding","ACTR1A","2","OTTHUMG00000018956.2",NA,"ENSG00000138107",NA
"CYP2C9","HAVANA","gene",NA,NA,"ENSG00000138109.9","protein_coding","CYP2C9","2","OTTHUMG00000018805.1",NA,"ENSG00000138109",NA
"TMEM180","HAVANA","gene",NA,NA,"ENSG00000138111.10","protein_coding","TMEM180","2","OTTHUMG00000018961.2",NA,"ENSG00000138111",NA
"CYP2C8","HAVANA","gene",NA,NA,"ENSG00000138115.9","protein_coding","CYP2C8","2","OTTHUMG00000018804.3",NA,"ENSG00000138115",NA
"MYOF","HAVANA","gene",NA,NA,"ENSG00000138119.12","protein_coding","MYOF","2","OTTHUMG00000018772.5",NA,"ENSG00000138119",NA
"LOXL4","HAVANA","gene",NA,NA,"ENSG00000138131.3","protein_coding","LOXL4","2","OTTHUMG00000018874.1",NA,"ENSG00000138131",NA
"STAMBPL1","HAVANA","gene",NA,NA,"ENSG00000138134.7","protein_coding","STAMBPL1","2","OTTHUMG00000018702.1",NA,"ENSG00000138134",NA
"CH25H","HAVANA","gene",NA,NA,"ENSG00000138135.5","protein_coding","CH25H","2","OTTHUMG00000018705.1",NA,"ENSG00000138135",NA
"LBX1","HAVANA","gene",NA,NA,"ENSG00000138136.5","protein_coding","LBX1","2","OTTHUMG00000018927.3",NA,"ENSG00000138136",NA
"ATAD1","HAVANA","gene",NA,NA,"ENSG00000138138.9","protein_coding","ATAD1","2","OTTHUMG00000018685.1","ncRNA_host","ENSG00000138138",NA
"BTBD16","HAVANA","gene",NA,NA,"ENSG00000138152.7","protein_coding","BTBD16","2","OTTHUMG00000019182.4",NA,"ENSG00000138152",NA
"KIF11","HAVANA","gene",NA,NA,"ENSG00000138160.4","protein_coding","KIF11","2","OTTHUMG00000018761.1",NA,"ENSG00000138160",NA
"CUZD1","HAVANA","gene",NA,NA,"ENSG00000138161.8","protein_coding","CUZD1","2","OTTHUMG00000019195.4",NA,"ENSG00000138161",NA
"TACC2","HAVANA","gene",NA,NA,"ENSG00000138162.13","protein_coding","TACC2","1","OTTHUMG00000019181.5",NA,"ENSG00000138162",NA
"DUSP5","HAVANA","gene",NA,NA,"ENSG00000138166.5","protein_coding","DUSP5","2","OTTHUMG00000019040.1",NA,"ENSG00000138166",NA
"CALHM2","HAVANA","gene",NA,NA,"ENSG00000138172.6","protein_coding","CALHM2","2","OTTHUMG00000018990.1",NA,"ENSG00000138172",NA
"ARL3","HAVANA","gene",NA,NA,"ENSG00000138175.8","protein_coding","ARL3","2","OTTHUMG00000018965.2",NA,"ENSG00000138175",NA
"CEP55","HAVANA","gene",NA,NA,"ENSG00000138180.11","protein_coding","CEP55","2","OTTHUMG00000018774.1",NA,"ENSG00000138180",NA
"KIF20B","HAVANA","gene",NA,NA,"ENSG00000138182.10","protein_coding","KIF20B","2","OTTHUMG00000018725.1",NA,"ENSG00000138182",NA
"ENTPD1","HAVANA","gene",NA,NA,"ENSG00000138185.12","protein_coding","ENTPD1","2","OTTHUMG00000018818.2",NA,"ENSG00000138185",NA
"EXOC6","HAVANA","gene",NA,NA,"ENSG00000138190.12","protein_coding","EXOC6","2","OTTHUMG00000018767.5",NA,"ENSG00000138190",NA
"PLCE1","HAVANA","gene",NA,NA,"ENSG00000138193.10","protein_coding","PLCE1","2","OTTHUMG00000018789.3",NA,"ENSG00000138193",NA
"RBP4","HAVANA","gene",NA,NA,"ENSG00000138207.8","protein_coding","RBP4","2","OTTHUMG00000018773.2",NA,"ENSG00000138207",NA
"DBR1","HAVANA","gene",NA,NA,"ENSG00000138231.8","protein_coding","DBR1","2","OTTHUMG00000159824.3",NA,"ENSG00000138231",NA
"DNAJC13","HAVANA","gene",NA,NA,"ENSG00000138246.11","protein_coding","DNAJC13","2","OTTHUMG00000159674.5",NA,"ENSG00000138246",NA
"GPR87","HAVANA","gene",NA,NA,"ENSG00000138271.4","protein_coding","GPR87","2","OTTHUMG00000159858.1",NA,"ENSG00000138271",NA
"ANXA7","HAVANA","gene",NA,NA,"ENSG00000138279.11","protein_coding","ANXA7","2","OTTHUMG00000018463.4",NA,"ENSG00000138279",NA
"FAM149B1","HAVANA","gene",NA,NA,"ENSG00000138286.10","protein_coding","FAM149B1","2","OTTHUMG00000067794.2",NA,"ENSG00000138286",NA
"ASCC1","HAVANA","gene",NA,NA,"ENSG00000138303.13","protein_coding","ASCC1","1","OTTHUMG00000018434.3",NA,"ENSG00000138303",NA
"PLA2G12B","HAVANA","gene",NA,NA,"ENSG00000138308.5","protein_coding","PLA2G12B","2","OTTHUMG00000018446.1",NA,"ENSG00000138308",NA
"ZNF365","HAVANA","gene",NA,NA,"ENSG00000138311.11","protein_coding","ZNF365","2","OTTHUMG00000018302.3","ncRNA_host","ENSG00000138311",NA
"OIT3","HAVANA","gene",NA,NA,"ENSG00000138315.8","protein_coding","OIT3","2","OTTHUMG00000018444.1",NA,"ENSG00000138315",NA
"ADAMTS14","HAVANA","gene",NA,NA,"ENSG00000138316.6","protein_coding","ADAMTS14","2","OTTHUMG00000018414.1",NA,"ENSG00000138316",NA
"RPS24","HAVANA","gene",NA,NA,"ENSG00000138326.14","protein_coding","RPS24","2","OTTHUMG00000018549.3",NA,"ENSG00000138326",NA
"TET1","HAVANA","gene",NA,NA,"ENSG00000138336.8","protein_coding","TET1","2","OTTHUMG00000018359.1",NA,"ENSG00000138336",NA
"DNA2","HAVANA","gene",NA,NA,"ENSG00000138346.10","protein_coding","DNA2","2","OTTHUMG00000018352.4",NA,"ENSG00000138346",NA
"MYPN","HAVANA","gene",NA,NA,"ENSG00000138347.11","protein_coding","MYPN","2","OTTHUMG00000018344.1","ncRNA_host","ENSG00000138347",NA
"AOX1","HAVANA","gene",NA,NA,"ENSG00000138356.9","protein_coding","AOX1","1","OTTHUMG00000154536.3",NA,"ENSG00000138356",NA
"ATIC","HAVANA","gene",NA,NA,"ENSG00000138363.10","protein_coding","ATIC","2","OTTHUMG00000133023.6",NA,"ENSG00000138363",NA
"SMARCAL1","HAVANA","gene",NA,NA,"ENSG00000138375.8","protein_coding","SMARCAL1","1","OTTHUMG00000133055.2",NA,"ENSG00000138375",NA
"BARD1","HAVANA","gene",NA,NA,"ENSG00000138376.6","protein_coding","BARD1","2","OTTHUMG00000133016.3",NA,"ENSG00000138376",NA
"STAT4","HAVANA","gene",NA,NA,"ENSG00000138378.13","protein_coding","STAT4","1","OTTHUMG00000132700.4",NA,"ENSG00000138378",NA
"MSTN","HAVANA","gene",NA,NA,"ENSG00000138379.4","protein_coding","MSTN","2","OTTHUMG00000132663.2",NA,"ENSG00000138379",NA
"CARF","HAVANA","gene",NA,NA,"ENSG00000138380.13","protein_coding","CARF","1","OTTHUMG00000154528.7",NA,"ENSG00000138380",NA
"ASNSD1","HAVANA","gene",NA,NA,"ENSG00000138381.5","protein_coding","ASNSD1","2","OTTHUMG00000132665.5",NA,"ENSG00000138381",NA
"METTL5","HAVANA","gene",NA,NA,"ENSG00000138382.9","protein_coding","METTL5","1","OTTHUMG00000154117.2",NA,"ENSG00000138382",NA
"SSB","HAVANA","gene",NA,NA,"ENSG00000138385.11","protein_coding","SSB","1","OTTHUMG00000132212.9",NA,"ENSG00000138385",NA
"NAB1","HAVANA","gene",NA,NA,"ENSG00000138386.12","protein_coding","NAB1","1","OTTHUMG00000132689.2",NA,"ENSG00000138386",NA
"CDK15","HAVANA","gene",NA,NA,"ENSG00000138395.10","protein_coding","CDK15","2","OTTHUMG00000132838.5","ncRNA_host","ENSG00000138395",NA
"PPIG","HAVANA","gene",NA,NA,"ENSG00000138398.11","protein_coding","PPIG","1","OTTHUMG00000132206.4",NA,"ENSG00000138398",NA
"FASTKD1","HAVANA","gene",NA,NA,"ENSG00000138399.13","protein_coding","FASTKD1","1","OTTHUMG00000154953.2",NA,"ENSG00000138399",NA
"MDH1B","HAVANA","gene",NA,NA,"ENSG00000138400.8","protein_coding","MDH1B","1","OTTHUMG00000132918.3",NA,"ENSG00000138400",NA
"HECW2","HAVANA","gene",NA,NA,"ENSG00000138411.6","protein_coding","HECW2","1","OTTHUMG00000154435.7","ncRNA_host","ENSG00000138411",NA
"IDH1","HAVANA","gene",NA,NA,"ENSG00000138413.9","protein_coding","IDH1","2","OTTHUMG00000132943.13",NA,"ENSG00000138413",NA
"OLA1","HAVANA","gene",NA,NA,"ENSG00000138430.11","protein_coding","OLA1","1","OTTHUMG00000132335.3","ncRNA_host","ENSG00000138430",NA
"CIR1","HAVANA","gene",NA,NA,"ENSG00000138433.11","protein_coding","CIR1","1","OTTHUMG00000132338.3",NA,"ENSG00000138433",NA
"SSFA2","HAVANA","gene",NA,NA,"ENSG00000138434.12","protein_coding","SSFA2","1","OTTHUMG00000132584.4",NA,"ENSG00000138434",NA
"CHRNA1","HAVANA","gene",NA,NA,"ENSG00000138435.10","protein_coding","CHRNA1","1","OTTHUMG00000132357.2",NA,"ENSG00000138435",NA
"FAM117B","HAVANA","gene",NA,NA,"ENSG00000138439.10","protein_coding","FAM117B","2","OTTHUMG00000154550.3",NA,"ENSG00000138439",NA
"WDR12","HAVANA","gene",NA,NA,"ENSG00000138442.5","protein_coding","WDR12","2","OTTHUMG00000132855.5",NA,"ENSG00000138442",NA
"ABI2","HAVANA","gene",NA,NA,"ENSG00000138443.11","protein_coding","ABI2","1","OTTHUMG00000132879.13",NA,"ENSG00000138443",NA
"ITGAV","HAVANA","gene",NA,NA,"ENSG00000138448.7","protein_coding","ITGAV","2","OTTHUMG00000132635.5",NA,"ENSG00000138448",NA
"SLC40A1","HAVANA","gene",NA,NA,"ENSG00000138449.6","protein_coding","SLC40A1","2","OTTHUMG00000132662.3",NA,"ENSG00000138449",NA
"SLC35A5","HAVANA","gene",NA,NA,"ENSG00000138459.4","protein_coding","SLC35A5","2","OTTHUMG00000159263.1",NA,"ENSG00000138459",NA
"DIRC2","HAVANA","gene",NA,NA,"ENSG00000138463.8","protein_coding","DIRC2","2","OTTHUMG00000159553.2",NA,"ENSG00000138463",NA
"SENP7","HAVANA","gene",NA,NA,"ENSG00000138468.11","protein_coding","SENP7","2","OTTHUMG00000149927.3",NA,"ENSG00000138468",NA
"GUCA1C","HAVANA","gene",NA,NA,"ENSG00000138472.6","protein_coding","GUCA1C","2","OTTHUMG00000159204.2",NA,"ENSG00000138472",NA
"CCDC54","HAVANA","gene",NA,NA,"ENSG00000138483.1","protein_coding","CCDC54","2","OTTHUMG00000159169.1",NA,"ENSG00000138483",NA
"COX17","HAVANA","gene",NA,NA,"ENSG00000138495.2","protein_coding","COX17","1","OTTHUMG00000159433.3",NA,"ENSG00000138495",NA
"PARP9","HAVANA","gene",NA,NA,"ENSG00000138496.12","protein_coding","PARP9","1","OTTHUMG00000159522.2",NA,"ENSG00000138496",NA
"MNS1","HAVANA","gene",NA,NA,"ENSG00000138587.5","protein_coding","MNS1","2","OTTHUMG00000132034.3",NA,"ENSG00000138587",NA
"USP8","HAVANA","gene",NA,NA,"ENSG00000138592.9","protein_coding","USP8","1","OTTHUMG00000131645.5","ncRNA_host","ENSG00000138592",NA
"SECISBP2L","HAVANA","gene",NA,NA,"ENSG00000138593.4","protein_coding","SECISBP2L","1","OTTHUMG00000172194.1","ncRNA_host","ENSG00000138593",NA
"TMOD3","HAVANA","gene",NA,NA,"ENSG00000138594.8","protein_coding","TMOD3","1","OTTHUMG00000131803.4","ncRNA_host","ENSG00000138594",NA
"SPPL2A","HAVANA","gene",NA,NA,"ENSG00000138600.5","protein_coding","SPPL2A","2","OTTHUMG00000131647.3",NA,"ENSG00000138600",NA
"GLCE","HAVANA","gene",NA,NA,"ENSG00000138604.5","protein_coding","GLCE","2","OTTHUMG00000172084.3","ncRNA_host","ENSG00000138604",NA
"SHF","HAVANA","gene",NA,NA,"ENSG00000138606.15","protein_coding","SHF","1","OTTHUMG00000131353.4",NA,"ENSG00000138606",NA
"APH1B","HAVANA","gene",NA,NA,"ENSG00000138613.9","protein_coding","APH1B","1","OTTHUMG00000132863.3",NA,"ENSG00000138613",NA
"VWA9","HAVANA","gene",NA,NA,"ENSG00000138614.10","protein_coding","VWA9","1","OTTHUMG00000133159.10",NA,"ENSG00000138614",NA
"CILP","HAVANA","gene",NA,NA,"ENSG00000138615.4","protein_coding","CILP","2","OTTHUMG00000133140.1",NA,"ENSG00000138615",NA
"PARP16","HAVANA","gene",NA,NA,"ENSG00000138617.10","protein_coding","PARP16","1","OTTHUMG00000133138.5","ncRNA_host","ENSG00000138617",NA
"PPCDC","HAVANA","gene",NA,NA,"ENSG00000138621.7","protein_coding","PPCDC","1","OTTHUMG00000142824.4",NA,"ENSG00000138621",NA
"HCN4","HAVANA","gene",NA,NA,"ENSG00000138622.3","protein_coding","HCN4","2","OTTHUMG00000137563.2",NA,"ENSG00000138622",NA
"SEMA7A","HAVANA","gene",NA,NA,"ENSG00000138623.5","protein_coding","SEMA7A","2","OTTHUMG00000139000.3",NA,"ENSG00000138623",NA
"UBL7","HAVANA","gene",NA,NA,"ENSG00000138629.11","protein_coding","UBL7","1","OTTHUMG00000139001.4",NA,"ENSG00000138629",NA
"ARHGAP24","HAVANA","gene",NA,NA,"ENSG00000138639.13","protein_coding","ARHGAP24","2","OTTHUMG00000130427.4","ncRNA_host","ENSG00000138639",NA
"FAM13A","HAVANA","gene",NA,NA,"ENSG00000138640.10","protein_coding","FAM13A","2","OTTHUMG00000161006.1",NA,"ENSG00000138640",NA
"HERC3","HAVANA","gene",NA,NA,"ENSG00000138641.11","protein_coding","HERC3","2","OTTHUMG00000150436.7",NA,"ENSG00000138641",NA
"HERC6","HAVANA","gene",NA,NA,"ENSG00000138642.10","protein_coding","HERC6","2","OTTHUMG00000160983.5",NA,"ENSG00000138642",NA
"HERC5","HAVANA","gene",NA,NA,"ENSG00000138646.4","protein_coding","HERC5","2","OTTHUMG00000130953.5","ncRNA_host","ENSG00000138646",NA
"PCDH10","HAVANA","gene",NA,NA,"ENSG00000138650.7","protein_coding","PCDH10","1","OTTHUMG00000161301.3",NA,"ENSG00000138650",NA
"NDST4","HAVANA","gene",NA,NA,"ENSG00000138653.5","protein_coding","NDST4","2","OTTHUMG00000132916.2",NA,"ENSG00000138653",NA
"C4orf21","HAVANA","gene",NA,NA,"ENSG00000138658.11","protein_coding","C4orf21","2","OTTHUMG00000132908.3",NA,"ENSG00000138658",NA
"AP1AR","HAVANA","gene",NA,NA,"ENSG00000138660.7","protein_coding","AP1AR","2","OTTHUMG00000132849.2",NA,"ENSG00000138660",NA
"COPS4","HAVANA","gene",NA,NA,"ENSG00000138663.4","protein_coding","COPS4","1","OTTHUMG00000130298.2",NA,"ENSG00000138663",NA
"HNRNPD","HAVANA","gene",NA,NA,"ENSG00000138668.14","protein_coding","HNRNPD","1","OTTHUMG00000130290.3",NA,"ENSG00000138668",NA
"PRKG2","HAVANA","gene",NA,NA,"ENSG00000138669.5","protein_coding","PRKG2","2","OTTHUMG00000130296.2",NA,"ENSG00000138669",NA
"RASGEF1B","HAVANA","gene",NA,NA,"ENSG00000138670.12","protein_coding","RASGEF1B","2","OTTHUMG00000160890.4",NA,"ENSG00000138670",NA
"SEC31A","HAVANA","gene",NA,NA,"ENSG00000138674.12","protein_coding","SEC31A","1","OTTHUMG00000130297.10",NA,"ENSG00000138674",NA
"FGF5","HAVANA","gene",NA,NA,"ENSG00000138675.12","protein_coding","FGF5","2","OTTHUMG00000130288.2",NA,"ENSG00000138675",NA
"AGPAT9","HAVANA","gene",NA,NA,"ENSG00000138678.6","protein_coding","AGPAT9","2","OTTHUMG00000130431.3",NA,"ENSG00000138678",NA
"IL21","HAVANA","gene",NA,NA,"ENSG00000138684.3","protein_coding","IL21","2","OTTHUMG00000133073.1",NA,"ENSG00000138684",NA
"FGF2","HAVANA","gene",NA,NA,"ENSG00000138685.8","protein_coding","FGF2","2","OTTHUMG00000039506.4","ncRNA_host","ENSG00000138685",NA
"BBS7","HAVANA","gene",NA,NA,"ENSG00000138686.5","protein_coding","BBS7","2","OTTHUMG00000133076.2",NA,"ENSG00000138686",NA
"KIAA1109","HAVANA","gene",NA,NA,"ENSG00000138688.11","protein_coding","KIAA1109","1","OTTHUMG00000150116.3",NA,"ENSG00000138688",NA
"BMPR1B","HAVANA","gene",NA,NA,"ENSG00000138696.6","protein_coding","BMPR1B","2","OTTHUMG00000130991.4",NA,"ENSG00000138696",NA
"RAP1GDS1","HAVANA","gene",NA,NA,"ENSG00000138698.10","protein_coding","RAP1GDS1","1","OTTHUMG00000160987.11",NA,"ENSG00000138698",NA
"LARP1B","HAVANA","gene",NA,NA,"ENSG00000138709.13","protein_coding","LARP1B","1","OTTHUMG00000133343.2",NA,"ENSG00000138709",NA
"MMRN1","HAVANA","gene",NA,NA,"ENSG00000138722.5","protein_coding","MMRN1","1","OTTHUMG00000130947.2",NA,"ENSG00000138722",NA
"PDE5A","HAVANA","gene",NA,NA,"ENSG00000138735.11","protein_coding","PDE5A","2","OTTHUMG00000132971.5",NA,"ENSG00000138735",NA
"PRDM5","HAVANA","gene",NA,NA,"ENSG00000138738.6","protein_coding","PRDM5","2","OTTHUMG00000132970.2",NA,"ENSG00000138738",NA
"TRPC3","HAVANA","gene",NA,NA,"ENSG00000138741.6","protein_coding","TRPC3","2","OTTHUMG00000133069.3",NA,"ENSG00000138741",NA
"NAAA","HAVANA","gene",NA,NA,"ENSG00000138744.10","protein_coding","NAAA","1","OTTHUMG00000160855.7",NA,"ENSG00000138744",NA
"NUP54","HAVANA","gene",NA,NA,"ENSG00000138750.10","protein_coding","NUP54","1","OTTHUMG00000130098.3",NA,"ENSG00000138750",NA
"CXCL9","HAVANA","gene",NA,NA,"ENSG00000138755.5","protein_coding","CXCL9","2","OTTHUMG00000160889.1",NA,"ENSG00000138755",NA
"BMP2K","HAVANA","gene",NA,NA,"ENSG00000138756.13","protein_coding","BMP2K","2","OTTHUMG00000160900.2","ncRNA_host","ENSG00000138756",NA
"G3BP2","HAVANA","gene",NA,NA,"ENSG00000138757.10","protein_coding","G3BP2","2","OTTHUMG00000130097.12","ncRNA_host","ENSG00000138757",NA
"SEPT11","HAVANA","gene",NA,NA,"ENSG00000138758.7","protein_coding","SEPT11","1","OTTHUMG00000160854.1",NA,"ENSG00000138758",NA
"FRAS1","HAVANA","gene",NA,NA,"ENSG00000138759.13","protein_coding","FRAS1","2","OTTHUMG00000160856.3","ncRNA_host","ENSG00000138759",NA
"SCARB2","HAVANA","gene",NA,NA,"ENSG00000138760.4","protein_coding","SCARB2","1","OTTHUMG00000130099.2",NA,"ENSG00000138760",NA
"CCNG2","HAVANA","gene",NA,NA,"ENSG00000138764.9","protein_coding","CCNG2","2","OTTHUMG00000130100.3",NA,"ENSG00000138764",NA
"CNOT6L","HAVANA","gene",NA,NA,"ENSG00000138767.8","protein_coding","CNOT6L","2","OTTHUMG00000160832.5",NA,"ENSG00000138767",NA
"USO1","HAVANA","gene",NA,NA,"ENSG00000138768.10","protein_coding","USO1","2","OTTHUMG00000160952.7",NA,"ENSG00000138768",NA
"CDKL2","HAVANA","gene",NA,NA,"ENSG00000138769.6","protein_coding","CDKL2","1","OTTHUMG00000130103.2",NA,"ENSG00000138769",NA
"SHROOM3","HAVANA","gene",NA,NA,"ENSG00000138771.10","protein_coding","SHROOM3","1","OTTHUMG00000157075.2","ncRNA_host","ENSG00000138771",NA
"ANXA3","HAVANA","gene",NA,NA,"ENSG00000138772.8","protein_coding","ANXA3","1","OTTHUMG00000130198.6",NA,"ENSG00000138772",NA
"PPA2","HAVANA","gene",NA,NA,"ENSG00000138777.15","protein_coding","PPA2","1","OTTHUMG00000128781.10",NA,"ENSG00000138777",NA
"CENPE","HAVANA","gene",NA,NA,"ENSG00000138778.7","protein_coding","CENPE","2","OTTHUMG00000160980.4",NA,"ENSG00000138778",NA
"GSTCD","HAVANA","gene",NA,NA,"ENSG00000138780.10","protein_coding","GSTCD","2","OTTHUMG00000131211.4",NA,"ENSG00000138780",NA
"INTS12","HAVANA","gene",NA,NA,"ENSG00000138785.10","protein_coding","INTS12","2","OTTHUMG00000131215.6",NA,"ENSG00000138785",NA
"ENPEP","HAVANA","gene",NA,NA,"ENSG00000138792.5","protein_coding","ENPEP","2","OTTHUMG00000132546.3",NA,"ENSG00000138792",NA
"CASP6","HAVANA","gene",NA,NA,"ENSG00000138794.5","protein_coding","CASP6","1","OTTHUMG00000131914.2",NA,"ENSG00000138794",NA
